일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/07/28","50600","0","0.00","50200","51400","49600","1539813","77886284100","22479722474000","444263290"
"2023/07/27","50600","2800","5.86","47500","50600","47500","2861543","142473314500","22479722474000","444263290"
"2023/07/26","47800","-1050","-2.15","48800","48800","46650","3798977","180135718350","21235785262000","444263290"
"2023/07/25","48850","-1000","-2.01","49600","49800","48800","1788062","87682627150","21702261716500","444263290"
"2023/07/24","49850","-750","-1.48","50100","50300","49400","1943708","96571041850","22146525006500","444263290"
"2023/07/21","50600","100","0.20","50000","50800","49750","1203404","60651477550","22479722474000","444263290"
"2023/07/20","50500","100","0.20","50100","51100","50100","1150775","58316036900","22435296145000","444263290"
"2023/07/19","50400","-1400","-2.70","51800","51800","50100","1674191","84739999200","22390869816000","444263290"
"2023/07/18","51800","-900","-1.71","52700","52700","51400","1486148","77184346800","23012838422000","444263290"
"2023/07/17","52700","-100","-0.19","52400","53200","52200","1411212","74268627800","23412675383000","444263290"
"2023/07/14","52800","900","1.73","52300","52800","51600","1900674","99559628600","23457101712000","444263290"
"2023/07/13","51900","300","0.58","52000","52600","51700","1955527","101784413400","23057264751000","444263290"
"2023/07/12","51600","900","1.78","50700","51800","50200","1658795","84617041600","22923985764000","444263290"
"2023/07/11","50700","850","1.71","50100","51000","50000","1212718","61177688000","22524148803000","444263290"
"2023/07/10","49850","0","0.00","49850","50300","49450","1068139","53321611350","22146525006500","444263290"
"2023/07/07","49850","-1050","-2.06","50600","51200","49750","1974639","99303217600","22146525006500","444263290"
"2023/07/06","50900","2050","4.20","48850","51500","48700","3139685","158287014500","22604904085400","444104206"
"2023/07/05","48850","-1100","-2.20","49950","50400","48800","2700066","132968381100","21694490463100","444104206"
"2023/07/04","49950","-1050","-2.06","50900","51000","49900","1445459","72500723150","22183005089700","444104206"
"2023/07/03","51000","1900","3.87","49300","51000","49300","1691513","85683992550","22649314506000","444104206"
"2023/06/30","49100","100","0.20","48850","49700","48400","1268925","62262964050","21805516514600","444104206"
"2023/06/29","49000","0","0.00","49000","49800","48700","1287518","63413787050","21761106094000","444104206"
"2023/06/28","49000","-350","-0.71","49700","49750","48500","1659730","81271939650","21761106094000","444104206"
"2023/06/27","49350","-650","-1.30","50000","50100","49350","1333727","66040113350","21916542566100","444104206"
"2023/06/26","50000","300","0.60","49000","50300","48600","1872956","93224881400","22205210300000","444104206"
"2023/06/23","49700","-600","-1.19","50200","50500","49550","1755166","87381396900","22071979038200","444104206"
"2023/06/22","50300","-200","-0.40","50200","51100","50100","1336297","67640790800","22338441561800","444104206"
"2023/06/21","50500","-1200","-2.32","51700","52000","50300","2027881","103168939300","22427262403000","444104206"
